Location,Trainer,Pokemon,Level,Item,Move 1,Move 2,Move 3,Move 4,EXP
,,Exeggutor,52,Quick Claw,Sleep Powder,Giga Drain,Explosion,Psychic M,2362
,,Starmie,53,Miracleberry,Waterfall,Ice Beam,Thunderbolt,Recover,2350
,,Marowak,52,Thick Club,Earthquake,Ancientpower,Frustration,Submission,1381
,,Kangaskhan,53,Leftovers,Fire Blast,Substitute,Body Slam,Earthquake,1987
,ExecutiveF EXECUTIVEF (2) EXECUTIVE,Donphan,53,Quick Claw,Earthquake,Ancientpower,Swagger,Body Slam,2146
,,Espeon,53,Miracleberry,Sing,Psychic M,Psywave,Hidden Power (Fire),2237
,,Heracross,53,Miracleberry,Megahorn,Earthquake,Submission,Rock Slide,2271
,,Gengar,53,Miracleberry,Hypnosis,Ice Punch,Thunderbolt,Explosion,2157
,,Aerodactyl,53,Hard Stone,Hidden Power (Rock),Wing Attack,Earthquake,Fire Blast,2294
,,Tauros,52,Soft Sand,Double Edge,Earthquake,Rest,Sleep Talk,2351
Mahogany town gym,Skier SKIER (2) CLARISSA,Octillery,54,Miracleberry,Waterfall,Flamethrower,Ice Beam,No Move,1897
,,Sneasel,54,Metal Coat,Metal Claw,Ice Beam,Frustration,Shadow Ball,1527
,,Ursaring,53,Miracleberry,Earthquake,Body Slam,Submission,Rest,2146
,,Lanturn,54,Miracleberry,Waterfall,Thunderbolt,Ice Beam,Rest,1805
,,,,,,,,,
,,,,,,,,,
,Boarder BOARDER (1) RONALD,Cloyster,53,Miracleberry,Spikes,Explosion,Waterfall,Ice Beam,2305
,,Nidoqueen,54,Soft Sand,Earthquake,Sludge Bomb,Ice Beam,Thunderbolt,2244
,,Girafarig,54,Twistedspoon,Psychic M,Body Slam,Shadow Ball,Thunderbolt,1724
,,Dewgong,54,Leftovers,Waterfall,Ice Beam,Double Edge,No Move,2036
,,,,,,,,,
,,,,,,,,,
,Boarder BOARDER (3) DOUGLAS,Stantler,54,Miracleberry,Body Slam,Confuse Ray,Hypnosis,Earthquake,1909
,,Golduck,54,Miracleberry,Waterfall,Ice Beam,Hypnosis,Cross Chop,2013
,,Arcanine,54,Leftovers,Fire Blast,Extremespeed,Crunch,Hidden Power (Grass),2464
,,Raichu,54,Magnet,Thunderbolt,Hidden Power (Ice),Surf,Petal Dance,1411
,,,,,,,,,
,,,,,,,,,
,Pryce PRYCE (1) PRYCE,Jynx,55,Nevermeltice,Lovely Kiss,Ice Beam,Psychic M,Destiny Bond,1614
,,Tentacruel,55,Miracleberry,Waterfall,Sludge Bomb,Ice Beam,Giga Drain,2416
,,Piloswine,55,Miracleberry,Earthquake,Ancientpower,Ice Beam,Body Slam,1885
,,Lapras,55,Miracleberry,Confuse Ray,Ice Beam,Thunderbolt,Waterfall,2581
,,Dewgong,55,Leftovers,Hidden Power (Electric),Ice Beam,Waterfall,Icy Wind,2074
,,Articuno,55,Leftovers,Sky Attack,Ice Beam,Hidden Power (Grass),Psychic M,2533
Olivine Lighthouse,Sailor SAILOR (2) HUEY,Qwilfish,54,Miracleberry,Sludge Bomb,Hydro Pump,Explosion,Ice Beam,1157
,,Espeon,54,Miracleberry,Psychic M,Hidden Power (Fire),Shadow Ball,Morning Sun,2279
,,Primeape,55,Blackbelt I,Cross Chop,Earthquake,Rock Slide,Body Slam,1756
,,Politoed,56,Mystic Water,Hypnosis,Hydro Pump,Earthquake,Ice Beam,2220
,,,,,,,,,
,,,,,,,,,
b2b,Gentleman GENTLEMAN (5) ALFRED,Granbull,57,Miracleberry,Thunder Wave,Frustration,Earthquake,Submission,2174
,,Poliwrath,55,Miracleberry,Waterfall,Earthquake,Ice Beam,Submission,2180
,,Raichu,55,Pink Bow,Thunderbolt,Extremespeed,Surf,Hidden Power (Fire),1437
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,Gentleman GENTLEMAN (1) PRESTON,Arcanine,55,Miracleberry,Fire Blast,Extremespeed,Crunch,Morning Sun,2510
,,Scizor,56,Miracleberry,Leech Life,Metal Claw,Quick Attack,No Move,2400
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
(immediate),BirdKeeper BIRD_KEEPER (4) THEO,Noctowl,53,Miracleberry,Hypnosis,Sky Attack,Psychic M,Steel Wing,1839
,,Pidgeot,54,Pink Bow,Quick Attack,Hidden Power (Flying),Frustration,Steel Wing,1990
,,Gligar,55,Miracleberry,Sky Attack,Earthquake,Steel Wing,No Move,1272
,,Golduck,54,Mystic Water,Hypnosis,Waterfall,Ice Beam,Cross Chop,2013
,,Fearow,55,Sharp Beak,Drill Peck,Frustration,Steel Wing,Hidden Power (Ground),1909
,,,,,,,,,
,BirdKeeper BIRD_KEEPER (6) DENIS,Togetic,55,Miracleberry,Softboiled,Tri Attack,Hidden Power (Flying),Flamethrower,1343
,,Dodrio,55,Sharp Beak,Drill Peck,Frustration,Steel Wing,Double Kick,1862
,,Xatu,55,Miracleberry,Giga Drain,Psychic M,Confuse Ray,Drill Peck,2015
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,Lass LASS (5) CONNIE,Clefable,57,Miracleberry,Softboiled,Flamethrower,Ice Beam,Thunderbolt,1575
,,Wigglytuff,57,Miracleberry,Double Edge,Flamethrower,Ice Beam,Thunderbolt,1331
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,Sailor SAILOR (3) TERRELL,Tentacruel,57,Miracleberry,Waterfall,Ice Beam,Sludge Bomb,No Move,2503
,,Mantine,57,Miracleberry,Waterfall,Ice Beam,Confuse Ray,No Move,2052
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
cant leave after Terrell,Sailor SAILOR (5) ERNEST,Sneasel,56,Miracleberry,Metal Claw,Surf,Shadow Ball,Ice Beam,1584
,,Machamp,56,Miracleberry,Submission,Earthquake,Rock Slide,Shadow Ball,2316
,,Quagsire,56,Leftovers,Recover,Waterfall,Earthquake,Ice Beam,1644
,,Gengar,54,Miracleberry,Fire Punch,Ice Punch,Thunderbolt,Explosion,2198
,,,,,,,,,
,,,,,,,,,
Olivine city gym,Jasmine JASMINE (1) JASMINE,Ampharos,57,Quick Claw,Reflect,Thunderbolt,Fire Punch,Hidden Power (Grass),2369
,,Skarmory,58,Focus Band,Spikes,Metal Claw,Rock Slide,Sky Attack,2088
,,Porygon2,57,Leftovers,Tri Attack,Ice Beam,Thunderbolt,Psychic M,2198
,,Scizor,57,Quick Claw,Light Screen,Metal Claw,Double Edge,Hidden Power (Bug),2442
,,Slowbro,58,Leftovers,Fire Blast,Waterfall,Psychic M,Earthquake,2038
,,Steelix,58,Quick Claw,Iron Tail,Earthquake,Explosion,Ancientpower,2436
Radio Tower,GruntM GRUNTM (3) GRUNT,Piloswine,63,Leftovers,Earthquake,Rock Slide,Ice Beam,No Move,2160
,,Crobat,63,Leftovers,Hidden Power (Flying),Sludge Bomb,Confuse Ray,Giga Drain,2754
,,Raichu,63,Miracleberry,Thunderbolt,Surf,Extremespeed,Hidden Power (Fire),1647
,,Poliwrath,63,Miracleberry,Earthquake,Waterfall,Ice Beam,Submission,2497
,,,,,,,,,
,,,,,,,,,
,GruntM GRUNTM (6) GRUNT,Ditto,80,Miracleberry,Transform,No Move,No Move,No Move,1045
,,Weezing,59,Quick Claw,Explosion,Sludge Bomb,Thunderbolt,Flamethrower,2187
,,Forretress,59,Quick Claw,Explosion,Earthquake,Hidden Power (Steel),Leech Life,1491
,,Gyarados,62,Miracleberry,Hidden Power (Flying),Hydro Pump,Ice Beam,Earthquake,2843
,,,,,,,,,
,,,,,,,,,
(immediate),GruntF GRUNTF (2) GRUNT,Victreebel,61,Miracleberry,Sleep Powder,Giga Drain,Sludge Bomb,Hidden Power (Fire),2496
,,Electabuzz,61,Magnet,Thunderbolt,Cross Chop,Fire Punch,Ice Punch,2039
,,Ursaring,61,Miracleberry,Earthquake,Submission,Frustration,Rock Slide,2470
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,GruntM GRUNTM (4) GRUNT,Houndoom,63,Miracleberry,Flamethrower,Pursuit,Crunch,Hidden Power (Electric),2754
,,Dodrio,63,Miracleberry,Sky Attack,Double Kick,Return,Steel Wing,2133
,,Hypno,63,Miracleberry,Hypnosis,Psychic M,Fire Punch,Thunderpunch,2227
,,Umbreon,63,Miracleberry,Confuse Ray,Pursuit,Toxic,Moonlight,2659
,,,,,,,,,
,,,,,,,,,
,GruntM GRUNTM (7) GRUNT,Scizor,61,Quick Claw,Metal Claw,Leech Life,Quick Attack,Hidden Power (Ground),2614
,,Tentacruel,62,Miracleberry,Waterfall,Ice Beam,Confuse Ray,Sludge Bomb,2723
,,Machamp,61,Quick Claw,Submission,Earthquake,Rock Slide,Hidden Power (Ghost),2522
,,Jolteon,62,Magnet,Thunderbolt,Bite,Thunder Wave,Hidden Power (Ice),2617
,,,,,,,,,
,,,,,,,,,
(immediate),GruntM GRUNTM (8) GRUNT,Kangaskhan,62,Pink Bow,Return,Earthquake,Rock Slide,Shadow Ball,2325
,,Qwilfish,62,Miracleberry,Hydro Pump,Sludge Bomb,Ice Beam,Return,1328
,,Donphan,62,Leftovers,Earthquake,Rock Slide,Attract,Return,2511
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,GruntM GRUNTM (10) GRUNT,Magmar,63,Miracleberry,Flamethrower,Cross Chop,Thunderpunch,Psychic M,2254
,,Alakazam,62,Miracleberry,Fire Punch,Psychic M,Thunderpunch,Seismic Toss,2471
,,Mr  Mime,63,Twistedspoon,Ice Punch,Psychic M,Thunderbolt,Fire Punch,1836
,,Vaporeon,63,Mystic Water,Waterfall,Ice Beam,Toxic,Detect,2646
,,,,,,,,,
,,,,,,,,,
(immediate),Scientist SCIENTIST (5) RICH,Skarmory,63,Leftovers,Drill Peck,Metal Claw,Rock Slide,Hidden Power (Ground),2268
,,Chansey,75,Leftovers,Softboiled,Reflect,Psywave,No Move,4098
,,Gengar,62,Miracleberry,Hypnosis,Thunderbolt,Ice Punch,Fire Punch,2524
,,Flareon,63,Charcoal,Flamethrower,Double Edge,Shadow Ball,Quick Attack,2673
,,,,,,,,,
,,,,,,,,,
,ExecutiveM EXECUTIVEM (3) EXECUTIVE,Electrode,61,Scope Lens,Explosion,Hidden Power (Grass),Thunderbolt,Reflect,1960
,,Exeggutor,60,Quick Claw,Selfdestruct,Psychic M,Sleep Powder,Giga Drain,2725
,,Muk,60,Quick Claw,Selfdestruct,Sludge Bomb,Flamethrower,Giga Drain,2018
,,Cloyster,60,Quick Claw,Selfdestruct,Ice Beam,Waterfall,Tri Attack,2610
,,Steelix,60,Quick Claw,Selfdestruct,Earthquake,Rock Slide,Body Slam,2520
,,Snorlax,60,Quick Claw,Selfdestruct,Body Slam,Rock Slide,Flamethrower,1980
,GruntM GRUNTM (13) GRUNT,Rhydon,62,Quick Claw,Earthquake,Iron Tail,Rock Slide,Megahorn,2710
,,Mantine,63,Miracleberry,Waterfall,Toxic,Hidden Power (Electric),Ice Beam,2268
,,Venusaur,63,Leftovers,Giga Drain,Leech Seed,Sludge Bomb,Earthquake,2808
,,Feraligatr,63,Miracleberry,Waterfall,Ice Beam,Earthquake,Crunch,2835
,,,,,,,,,
,,,,,,,,,
(immediate),GruntM GRUNTM (11) GRUNT,Kangaskhan,61,Miracleberry,Surf,Body Slam,Attract,Earthquake,2287
,,Jynx,62,Nevermeltice,Lovely Kiss,Ice Beam,Psychic M,Seismic Toss,1820
,,Magneton,63,Magnet,Thunderbolt,Explosion,Hidden Power (Grass),Thunder Wave,2173
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,Burglar BURGLAR (1) DUNCAN,Hitmonchan,63,Miracleberry,Hi Jump Kick,Earthquake,Rock Slide,Mach Punch,1890
,,Ninetales,63,Leftovers,Flamethrower,Psychic M,Hidden Power (Grass),Iron Tail,2403
,,Pinsir,63,Miracleberry,Earthquake,Rock Slide,Hidden Power (Bug),Submission,2700
,,Nidoking,61,Berserk Gene,Earthquake,Sludge Bomb,Lovely Kiss,Thunderbolt,2548
,,,,,,,,,
,,,,,,,,,
(immediate),Burglar BURGLAR (2) EDDIE,Rapidash,63,Leftovers,Flamethrower,Megahorn,Hidden Power (Grass),Double Edge,2592
,,Persian,63,Pink Bow,Double Edge,Thunderbolt,Shadow Ball,Bubblebeam,1998
,,Girafarig,63,Miracleberry,Hypnosis,Thunderbolt,Return,Psychic M,2011
,,Weezing,60,Quick Claw,Explosion,Sludge Bomb,Fire Blast,Thunderbolt,2224
,,,,,,,,,
,,,,,,,,,
,Rival1 RIVAL1 (10) ?,Dodrio,63,Pink Bow,Sky Attack,Double Edge,Steel Wing,Hidden Power (Ground),2133
,,Primeape,63,Miracleberry,Submission,Earthquake,Rock Slide,Rest,2011
,,Electabuzz,63,Magnet,Thunderbolt,Psychic M,Cross Chop,Fire Punch,2106
,,Arcanine,63,Leftovers,Flamethrower,Extremespeed,Morning Sun,Hidden Power (Grass),2875
,,Politoed,63,Miracleberry,Waterfall,Ice Beam,Toxic,Earthquake,2497
,,Meganium,63,Leftovers,Synthesis,Ancientpower,Giga Drain,Hidden Power (Fire),2808
,Rival1 RIVAL1 (11) ?,Dodrio,63,Pink Bow,Sky Attack,Double Edge,Steel Wing,Hidden Power (Ground),2133
,,Primeape,63,Miracleberry,Submission,Earthquake,Rock Slide,Rest,2011
,,Electabuzz,63,Magnet,Thunderbolt,Psychic M,Cross Chop,Ice Punch,2106
,,Venusaur,63,Leftovers,Giga Drain,Leech Seed,Sludge Bomb,Earthquake,2808
,,Politoed,63,Miracleberry,Waterfall,Ice Beam,Toxic,Earthquake,2497
,,Typhlosion,63,Miracleberry,Flamethrower,Thunderpunch,Earthquake,Submission,2821
,Rival1 RIVAL1 (12) ?,Dodrio,63,Pink Bow,Sky Attack,Double Edge,Steel Wing,Hidden Power (Ground),2133
,,Primeape,63,Miracleberry,Submission,Earthquake,Rock Slide,Rest,2011
,,Electabuzz,63,Magnet,Thunderbolt,Psychic M,Cross Chop,Hidden Power (Grass),2106
,,Arcanine,63,Leftovers,Flamethrower,Extremespeed,Morning Sun,Hidden Power (Grass),2875
,,Venusaur,63,Leftovers,Giga Drain,Leech Seed,Sludge Bomb,Earthquake,2808
,,Feraligatr,63,Miracleberry,Hydro Pump,Earthquake,Ice Beam,Crunch,2835
,GruntM GRUNTM (24) GRUNT,Heracross,63,Miracleberry,Megahorn,Earthquake,Frustration,Hidden Power (Ghost),2700
,,Dugtrio,63,Soft Sand,Earthquake,Rock Slide,Sludge Bomb,Tri Attack,2065
,,Ampharos,62,Leftovers,Thunderbolt,Fire Punch,Iron Tail,Thunder Wave,2577
,,Lapras,62,Leftovers,Waterfall,Ice Beam,Thunderbolt,Psychic M,2909
,,,,,,,,,
,,,,,,,,,
(immediate),GruntM GRUNTM (14) GRUNT,Quagsire,63,Leftovers,Recover,Earthquake,Waterfall,Ice Beam,1849
,,Crobat,63,Poison Barb,Sludge Bomb,Wing Attack,Giga Drain,Hidden Power (Ground),2754
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
(immediate),GruntM GRUNTM (15) GRUNT,Muk,62,Charcoal,Explosion,Sludge Bomb,Fire Blast,Body Slam,2085
,,Dragonite,62,Miracleberry,Earthquake,Outrage,Extremespeed,Thunderbolt,2896
,,Umbreon,63,Blackglasses,Psychic M,Pursuit,Hidden Power (Fire),Crunch,2659
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,Scientist SCIENTIST (4) MARC,Misdreavus,63,Miracleberry,Psychic M,Thunderbolt,Hypnosis,Shadow Ball,1984
,,Xatu,63,Miracleberry,Psychic M,Drill Peck,Giga Drain,Hidden Power (Fire),2308
,,Aerodactyl,62,Hard Stone,Rock Slide,Earthquake,Hidden Power (Flying),Fire Blast,2683
,,Rhydon,63,Miracleberry,Earthquake,Rock Slide,Fire Blast,Seismic Toss,2754
,,Raichu,63,Miracleberry,Thunderbolt,Surf,Extremespeed,Hidden Power (Fire),1647
,,,,,,,,,
,GruntF GRUNTF (4) GRUNT,Venusaur,63,Leftovers,Giga Drain,Leech Seed,Sludge Bomb,Earthquake,2808
,,Magmar,63,Miracleberry,Flamethrower,Cross Chop,Thunderpunch,Psychic M,2254
,,Feraligatr,63,Miracleberry,Waterfall,Ice Beam,Earthquake,Crunch,2835
,,Kangaskhan,63,Miracleberry,Double Edge,Earthquake,Shadow Ball,Fire Blast,2362
,,Poliwrath,63,Miracleberry,Earthquake,Waterfall,Ice Beam,Submission,2497
,,,,,,,,,
,ExecutiveM EXECUTIVEM (2) EXECUTIVE,Miltank,64,Miracleberry,Attract,Body Slam,Earthquake,Milk Drink,2742
,,Umbreon,64,Leftovers,Psychic M,Hidden Power (Fire),Crunch,Moonlight,2701
,,Shuckle,70,Leftovers,Toxic,Sandstorm,Protect,Wrap,1200
,,Hypno,64,Leftovers,Fire Punch,Psychic M,Submission,Shadow Ball,2262
,,Forretress,62,Quick Claw,Hidden Power (Bug),Rock Slide,Earthquake,Explosion,1567
,,Blastoise,64,Leftovers,Waterfall,Ice Beam,Earthquake,Submission,2880
,ExecutiveF EXECUTIVEF (1) EXECUTIVE,Crobat,64,Brightpowder,Sky Attack,Sludge Bomb,Giga Drain,Hidden Power (Fire),2797
,,Blissey,66,Leftovers,Thunder Wave,Reflect,Psywave,Softboiled,3606
,,Slowking,64,Miracleberry,Ice Beam,Psychic M,Waterfall,Earthquake,2249
,,Tauros,63,Leftovers,Double Edge,Earthquake,Rest,Sleep Talk,2848
,,Gengar,63,Focus Band,Hypnosis,Explosion,Thunderbolt,Ice Punch,2565
,,Marowak,64,Thick Club,Earthquake,Ancientpower,Frustration,Submission,1700
,ExecutiveM EXECUTIVEM (1) EXECUTIVE,Alakazam,64,Miracleberry,Thunderpunch,Psychic M,Fire Punch,Ice Punch,2550
,,Starmie,64,Miracleberry,Waterfall,Ice Beam,Thunderbolt,Psychic M,2838
,,Tyranitar,64,Quick Claw,Earthquake,Fire Blast,Ice Beam,Thunderbolt,2989
,,Porygon2,64,Miracleberry,Tri Attack,Ice Beam,Thunderbolt,Psychic M,2468
,,Houndoom,64,Charcoal,Flamethrower,Crunch,Frustration,Iron Tail,2797
,,Machamp,64,Quick Claw,Cross Chop,Earthquake,Rock Slide,Hidden Power (Ghost),2646
,Sage SAGE (10) GAKU,Piloswine,64,Nevermeltice,Earthquake,Ice Beam,Ancientpower,Body Slam,2194
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,Sage SAGE (11) MASA,Tyranitar,64,Blackglasses,Ancientpower,Earthquake,Crunch,Fire Blast,2989
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,Sage SAGE (12) KOJI,Dragonite,64,Pink Bow,Extremespeed,Hidden Power (Flying),Flamethrower,Thunderbolt,2989
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Route 44,Fisher FISHER (10) WILTON,Poliwrath,64,Leftovers,Waterfall,Ice Beam,Earthquake,Submission,2537
,,Quagsire,64,Leftovers,Recover,Earthquake,Rock Slide,Waterfall,1878
,,Mantine,64,Leftovers,Waterfall,Ice Beam,Confuse Ray,Wing Attack,2304
,,Vaporeon,64,Leftovers,Waterfall,Ice Beam,Growth,Hidden Power (Grass),2688
,,,,,,,,,
,,,,,,,,,
,Psychic PSYCHIC_T (8) PHIL,Mr  Mime,63,Twistedspoon,Psychic M,Hypnosis,Thunderbolt,Fire Punch,1836
,,Xatu,63,Twistedspoon,Psychic M,Giga Drain,Drill Peck,Thunder Wave,2308
,,Jynx,63,Twistedspoon,Psychic M,Lovely Kiss,Ice Beam,Seismic Toss,1849
,,Girafarig,63,Twistedspoon,Psychic M,Thunderbolt,Body Slam,Shadow Ball,2011
,,Exeggutor,63,Twistedspoon,Psychic M,Sleep Powder,Giga Drain,Hidden Power (Fire),2862
,,Espeon,63,Twistedspoon,Psychic M,Sing,Morning Sun,Hidden Power (Fire),2659
,BirdKeeper BIRD_KEEPER (7) VANCE,Skarmory,64,Leftovers,Protect,Drill Peck,Metal Claw,Hidden Power (Ground),2304
,,Dodrio,64,Pink Bow,Double Edge,Drill Peck,Double Kick,Quick Attack,2166
,,Fearow,64,Sharp Beak,Drill Peck,Quick Attack,Double Edge,No Move,2221
,,Golduck,64,Miracleberry,Hydro Pump,Blizzard,Hypnosis,Psychic M,2386
,,,,,,,,,
,,,,,,,,,
,Fisher FISHER (11) EDGAR,Qwilfish,62,Focus Band,Explosion,Spikes,Hydro Pump,Sludge Bomb,1328
,,Octillery,64,Leftovers,Flamethrower,Waterfall,Hidden Power (Grass),Ice Beam,2249
,,Politoed,64,Focus Band,Waterfall,Ice Beam,Hypnosis,Earthquake,2537
,,Lanturn,64,Miracleberry,Thunderbolt,Ice Beam,Waterfall,Rest,2139
,,,,,,,,,
,,,,,,,,,
,CooltrainerM COOLTRAINERM (19) ALLEN,Machamp,64,Miracleberry,Submission,Earthquake,Rock Slide,Hidden Power (Ghost),2646
,,Jolteon,64,Magnet,Thunderbolt,Hidden Power (Water),Bite,Thunder Wave,2701
,,Cloyster,64,Leftovers,Explosion,Waterfall,Toxic,Ice Beam,2784
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
(immediate),CooltrainerF COOLTRAINERF (16) CYBIL,Heracross,63,Miracleberry,Megahorn,Hidden Power (Ghost),Earthquake,Submission,2700
,,Typhlosion,63,Miracleberry,Flamethrower,Earthquake,Toxic,Thunderpunch,2821
,,Ampharos,63,Leftovers,Thunderbolt,Fire Punch,Hidden Power (Water),Thunder Wave,2619
,,Clefable,63,Leftovers,Softboiled,Ice Beam,Thunderbolt,Flamethrower,1741
,,Golem,62,Soft Sand,Explosion,Earthquake,Rock Slide,Seismic Toss,2351
,,,,,,,,,
Blackthorn city gym,CooltrainerM COOLTRAINERM (5) MIKE,Meganium,65,Leftovers,Synthesis,Leech Seed,Giga Drain,Hidden Power (Fire),2897
,,Typhlosion,65,Miracleberry,Flamethrower,Thunderpunch,Swagger,Earthquake,2911
,,Dragonite,65,Sharp Beak,Flamethrower,Ice Beam,Thunderbolt,Wing Attack,3036
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
(immediate),CooltrainerM COOLTRAINERM (3) PAUL,Dragonair,70,Miracleberry,Thunderbolt,Ice Beam,Outrage,Hydro Pump,2160
,,Gyarados,65,Leftovers,Hidden Power (Flying),Hydro Pump,Ice Beam,Double Edge,2980
,,Aerodactyl,64,Hard Stone,Rock Slide,Earthquake,Hidden Power (Flying),Frustration,2770
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,CooltrainerF COOLTRAINERF (3) FRAN,Starmie,66,Leftovers,Recover,Waterfall,Ice Beam,Psychic M,2927
,,Nidoking,66,Charcoal,Earthquake,Sludge Bomb,Lovely Kiss,Flamethrower,2757
,,Jolteon,66,Magnet,Thunderbolt,Thunder Wave,Double Kick,Hidden Power (Water),2786
,,Nidoqueen,66,Magnet,Earthquake,Sludge Bomb,Ice Beam,Thunderbolt,2743
,,,,,,,,,
,,,,,,,,,
,Clair CLAIR (1) CLAIR,Lapras,67,Leftovers,Ice Beam,Waterfall,Thunderbolt,Earthquake,3144
,,Feraligatr,67,Quick Claw,Ancientpower,Hydro Pump,Ice Beam,Earthquake,3015
,,Dragonite,67,Pink Bow,Extremespeed,Hidden Power (Flying),Flamethrower,Thunderbolt,3129
,,Charizard,67,Miracleberry,Sky Attack,Hidden Power (Grass),Flamethrower,Earthquake,3000
,,Nidoking,67,Soft Sand,Lovely Kiss,Earthquake,Ice Beam,Thunderbolt,2799
,,Kingdra,67,Leftovers,Octazooka,Hidden Power (Grass),Ice Beam,Return,2971
Route 45,Hiker HIKER (7) ERIK,Rhydon,68,Leftovers,Earthquake,Rock Slide,Double Edge,Megahorn,2972
,,Mr  Mime,68,Miracleberry,Hypnosis,Psychic M,Thunderbolt,Fire Punch,1981
,,Scyther,68,Silverpowder,Wing Attack,Leech Life,Steel Wing,Hidden Power (Ground),2724
,,Piloswine,68,Leftovers,Earthquake,Ancientpower,Ice Beam,Icy Wind,2331
,,,,,,,,,
,,,,,,,,,
,Hiker HIKER (20) PARRY,Dugtrio,66,Soft Sand,Earthquake,Rock Slide,Sludge Bomb,Hidden Power (Ghost),2163
,,Azumarill,66,Leftovers,Hydro Pump,Ice Beam,Double Edge,Hidden Power (Grass),2163
,,Girafarig,66,Miracleberry,Psychic M,Thunderbolt,Return,Rest,2107
,,Primeape,67,Blackbelt I,Cross Chop,Earthquake,Rock Slide,No Move,2139
,,,,,,,,,
,,,,,,,,,
(immediate),Blackbelt BLACKBELT_T (8) KENJI,Machamp,67,Focus Band,Submission,Earthquake,Rock Slide,Hidden Power (Ghost),2770
,,Poliwrath,67,Focus Band,Submission,Earthquake,Waterfall,Ice Beam,2656
,,Ursaring,67,Quick Claw,Return,Earthquake,Rock Slide,Fire Punch,2713
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,Camper CAMPER (22) QUENTIN,Stantler,68,Miracleberry,Return,Hypnosis,Psychic M,Earthquake,2404
,,Arcanine,68,Leftovers,Morning Sun,Flamethrower,Extremespeed,Hidden Power (Grass),3103
,,Scizor,68,Miracleberry,Leech Life,Metal Claw,Hidden Power (Ground),Swords Dance,2914
,,Murkrow,68,Blackglasses,Faint Attack,Pursuit,Sky Attack,Hidden Power (Fire),1559
,,,,,,,,,
,,,,,,,,,
Route 46,Picnicker PICNICKER (10) ERIN,Venomoth,68,Miracleberry,Sludge Bomb,Leech Life,Sleep Powder,Psychic M,2010
,,Kabutops,68,Miracleberry,Waterfall,Giga Drain,Ancientpower,Seismic Toss,2899
,,Jynx,68,Miracleberry,Lovely Kiss,Ice Beam,Psychic M,Hidden Power (Fire),1996
,,Omastar,68,Miracleberry,Hydro Pump,Ancientpower,Ice Beam,Hidden Power (Grass),2899
,,Granbull,68,Miracleberry,Body Slam,Earthquake,Shadow Ball,Fire Punch,2593
,,,,,,,,,
Dark Cave,Hiker HIKER (8) MICHAEL,Golem,67,Miracleberry,Explosion,Earthquake,Rock Slide,Hidden Power (Ghost),2541
,,Forretress,67,Miracleberry,Explosion,Earthquake,Leech Life,Hidden Power (Steel),1694
,,Arbok,67,Quick Claw,Sludge Bomb,Crunch,Glare,Earthquake,2110
,,Rapidash,67,Charcoal,Fire Blast,Toxic,Hidden Power (Electric),Morning Sun,2756
,,,,,,,,,
,,,,,,,,,
(immediate),CooltrainerF COOLTRAINERF (7) KELLY,Jumpluff,68,Leftovers,Synthesis,Leech Seed,Hidden Power (Flying),Giga Drain,2564
,,Blastoise,68,Leftovers,Hydro Pump,Ice Beam,Body Slam,Earthquake,3060
,,Ampharos,68,Leftovers,Thunderbolt,Thunder Wave,Fire Punch,Hidden Power (Water),2826
,,Pidgeot,68,Sharp Beak,Sky Attack,Double Edge,Steel Wing,No Move,2506
,,,,,,,,,
,,,,,,,,,
,CooltrainerM COOLTRAINERM (8) RYAN,Persian,69,Pink Bow,Bubblebeam,Double Edge,Thunderbolt,Hidden Power (Fire),2188
,,Cloyster,69,Leftovers,Explosion,Ice Beam,Waterfall,Tri Attack,3001
,,Quagsire,69,Leftovers,Recover,Curse,Earthquake,Ancientpower,2025
,,Muk,67,Quick Claw,Explosion,Sludge Bomb,Fire Blast,Giga Drain,2254
,,Gligar,69,Leftovers,Earthquake,Wing Attack,Steel Wing,Toxic,1596
,,Electabuzz,69,Magnet,Thunderbolt,Psychic M,Cross Chop,Fire Punch,2306
Dragon’s den,CooltrainerM COOLTRAINERM (20) DARIN,Kingdra,69,Miracleberry,Octazooka,Hidden Power (Dragon),Ice Beam,Body Slam,3060
